station,date,max_tmpf,min_tmpf,name,X,Y,GDD,Cumulative_GDD,Station_ID
MN087,2023-09-30,84.38,65.84002,Maple Grove I-94 Mile Post 217,-93.4475326538086,45.09209060668945,25.11000999999999,2984.400037500001,MN087
MN088,2023-09-30,87.98,71.24002,Little Canada I-694 Mile Post 46,-93.09236145019533,45.03765869140625,28.620010000000008,2857.9498134999985,MN088
MN089,2023-09-30,86.54002,67.28,Cayuga Street Br. I-35E Mile Post 109,-93.08812713623048,44.96786117553711,26.64,1453.1401250000001,MN089
MN090,2023-09-30,85.64002,65.66001,MN-110 and I-494 MN-10 Mile Post 5,-93.07833862304688,44.87607955932617,25.650014999999996,2530.169909500001,MN090
MN091,2023-09-30,68.36001,60.44002,Twig MN-53 Mile Post 21,-92.4130706787,46.9240684509,14.400014999999996,1831.4999645000005,MN091
MN092,2023-09-30,69.440025,60.44002,Mitchell Bridge MN-169 Mile Post 343,-92.8876,47.4451,14.940022499999998,2088.0900284999993,MN092
MN093,2023-09-30,64.940025,60.61998,Silver Cliff MN-61 Mile Post 30,-91.591552734375,47.069969177246094,12.780002500000002,1765.7100604999994,MN093
MN095,2023-09-30,63.68,61.519978,Blatnick Bridge South Abutment,-92.0971,46.7341,12.599989,1849.8600820000006,MN095
MN096,2023-09-30,93.19999,68.89999,Albert Lea I-35 Mile Post 30,-93.27761840820312,43.92010116577149,27.449995,2700.0900150000007,MN096
MN098,2023-09-30,75.38,52.88,I-94 at Red River Bridge,-96.7774,46.8471,14.129999999999995,2952.5401159999983,MN098
MN100,2023-09-30,67.99999,58.28,T.H.38 - Marcell - MP 27.5       MN US MNDOT,-93.67510223388672,47.58536911010742,13.139994999999999,2150.280060000001,MN100
MN101,2023-09-30,65.29999,60.44002,T.H.210 - Tamarack - MP 186.3    MN US MNDOT,-93.07975006103516,46.64413833618164,12.870004999999992,2104.4700464999987,MN101
MN103,2023-09-30,67.81998,60.26001,U.S.2 - Gowan - MP 225.1         MN US MNDOT,-92.86100006103516,46.87305068969727,14.039995000000005,2068.5601965,MN103
MN105,2023-09-30,69.08,61.340023,U.S.2 - Cohasset - MP 174.3      MN US MNDOT,-93.70240783691406,47.29679107666016,15.210011500000007,2160.000256499999,MN105
MN106,2023-09-30,66.38,57.74002,U.S.53 - Cook - MP 97.5          MN US MNDOT,-92.7742919921875,47.89173889160156,12.060009999999998,1978.9198874999993,MN106
MN108,2023-09-30,68.71998,59.540024,T.H.65 - Buck Lake - MP 192.9    MN US MNDOT,-93.19428253173828,47.61225891113281,14.130002000000005,2049.839823,MN108
MN111,2023-09-30,79.88,40.640022,T.H.59 - Lancaster - MP 421.9    MN US MNDOT,-96.7989273071289,48.90544128417969,14.939999999999998,2392.920048000001,MN111
MN113,2023-09-30,77.71998,44.59999,T.H.59 - Thief River - MP 363.4  MN US MNDOT,-96.2069091796875,48.17654037475586,13.859990000000003,2435.7596309999994,MN113
MN114,2023-09-30,78.08,44.59999,T.H.9 - Beltrami - MP 212.5      MN US MNDOT,-96.53217315673828,47.571380615234375,14.039999999999992,2627.9102929999995,MN114
MN115,2023-09-30,70.69999,42.61998,T.H.11 - Warroad - MP 87.1       MN US MNDOT,-95.4252471923828,48.894508361816406,10.349995,2233.0800244999987,MN115
MN116,2023-09-30,77.36001,41.18,T.H.72 - Baudette - MP 67.85     MN US MNDOT,-94.5602569580078,48.894508361816406,13.680005000000001,2239.1100515000003,MN116
MN117,2023-09-30,71.419975,43.519978,T.H.89 - Red Lake - MP 19.13     MN US MNDOT,-95.00585174560548,47.77656173706055,10.709987499999997,2273.310219,MN117
MN118,2023-09-30,74.84002,46.040024,T.H.1 - Goodridge - MP 71.8      MN US MNDOT,-95.62496185302734,48.12237930297852,12.420009999999998,2348.639977999999,MN118
MN119,2023-09-30,70.69999,50.71998,T.H.2 - Lengby - MP 75.8         MN US MNDOT,-95.66613006591795,47.53178024291992,10.709985000000003,2476.5299175000005,MN119
MN120,2023-09-30,69.98,57.019978,T.H.71 - Lake Itasca - MP 281.1  MN US MNDOT,-95.1317901611328,47.18767929077149,13.499989,2405.8799504999984,MN120
MN122,2023-09-30,69.98,61.340023,T.H.200 - Longville - MP 144.0   MN US MNDOT,-94.2145004272461,47.05281829833984,15.660011499999996,2254.410072999999,MN122
MN124,2023-09-30,67.09999,61.69999,T.H.210 - Motley - MP 101.0      MN US MNDOT,-94.64286041259766,46.34349060058594,14.399990000000003,2435.3100054999995,MN124
